Full Name,Company Name,Job Title,Talk Title,Abstract,What You'll Learn,Prerequiste Knowledge (if required),Track,Technical Level (1-7),Category 1,Top 3 keywords (in order),Bio,YouTube Link,Relevant Industries,What is Unique about your session,Event,YouTube ID
Marija Stanojevic,EudAImonia Science,Lead Applied Machine Learning Scientist," Machine Unlearning: Addressing Bias, Privacy, and Regulation in LLMs and Multimodal Models"," This talk discusses machine unlearning for large language models (LLMs) and multimodal models (MMs) handling sensitive data. As these AI models gain traction, ensuring adaptable and ethical practices is paramount, especially in domains handling healthcare, finance, and personal information. Here, we explore the intricacies of machine unlearning dynamics and their impact on bias mitigation, data privacy, legal compliance, and model robustness.

The talk sheds light on recent advancements and seminal research in machine unlearning. Given the growing prevalence of AI regulations and concerns around test data leaks during massive training, machine unlearning emerges as an essential component for ensuring unbiased, compliant, and well-evaluated AI systems. We discuss techniques for identifying unwanted data within models and for removing it while preserving model performance. Additionally, the talk explores methods for evaluating the success of machine unlearning, guaranteeing that the model forgets the targeted data without compromising its overall behavior and performance on other data.

Machine unlearning empowers stakeholders, including customers and data owners, with the ability to withdraw their data and fosters trust in the responsible development and deployment of LLMs and MM models."," * The importance of machine unlearning in responsible AI: You'll be able to explain why machine unlearning is crucial for ensuring ethical and adaptable AI practices, particularly for models handling sensitive data.
* The impact of machine unlearning on key aspects of AI development: The talk will investigate how machine unlearning can mitigate bias, enhance data privacy, ensure legal compliance, and improve model robustness.
* Recent advancements and research in machine unlearning: You'll understand the latest developments and significant research findings in the field of machine unlearning.
* Techniques for identifying and removing data from models: The talk will explore practical methods for determining if specific data resides within a model and how to remove it while maintaining the model's performance. 
* Evaluating the success of machine unlearning: You'll learn techniques to assess whether the machine unlearning process has been successful, ensuring the model forgets the targeted data without impacting its overall functionality.",,Research or Advanced Technical,4.0,"Ethics, governance compliance ","Machine Unlearning, Bias Mitigation, Data Privacy.
","Marija Stanojevic16, Ph.D. is a Lead Applied Machine Learning Scientist at EudAImonia Science and Ellipsis Health. She focuses on representation learning, multimodal, multilingual, and transfer learning for healthcare. She was a virtual chair of ICLR 2021 and ICML 2021, general chair of the Machine Learning for Cognitive and Mental Health workshop at AAAI 2024, and main organizer of the 9th Mid-Atlantic Student Colloquium on Speech, Language, and Learning
(MASC-SLL 2022). General chair. She worked at Meta, Cambridge Cognition, Winterlight Labs, and LinkedIn. ",https://www.youtube.com/watch?v=qrJGtMjA8PU,"Banking & Financial Services, Hospital & Health Care, Insurance, Marketing & Advertising, Telecommunications
",,TMLS 2024,qrJGtMjA8PU
Hamza Farooq,Traversaal.ai,CEO & Founder,LLMs for Leaders & Senior Product Managers,Become a leader in Gen AI Transformation. Learn from real-world case studies on how you can drive innovation within your company through LLM," In this workshop, participants will get a deep understanding of what Gen AI can do for them. We will do small exercises which provide with the knowledge and skills to leverage Large Language Models (LLMs) to build an AI strategy for your larger organization.

The course will take you through the entire process of:

💡 How to identify GenAI opportunities, within existing or brand-new products

🧪 Testing your idea through user research, quickly and without wasting a ton of $$

🏗️ Building your MVP, just enough so that you can get early traction

💰 Selling your idea, across customers, VCs, and internal stakeholders"," None, just basic knowledge of Chat GPT",Workshop,1.0,Introduction to MLOps and GenAI,"Large Language Models (LLMs), AI strategy, Gen AI transformation.
",,https://www.youtube.com/watch?v=RJawFx4kSMM,"Banking & Financial Services, Computer Software, Food & Beverages, Information Technology & Service, Marketing & Advertising
",,TMLS 2024,RJawFx4kSMM
Marinela Profi,SAS,Global AI & GenAI Lead,LLMs Alone Do Not Solve Business Problems,"The rapid rise of generative AI in 2023 sparked widespread experimentation, with companies across industries eager to leverage its potential for content generation, task automation, and customer experience transformation. However, not all organizations have found success, and by 2025, a clear divide will emerge between those excelling with AI-driven innovation and those struggling to keep up. In this session we will explore the key principles that are differentiating organizations who are winning the generative AI wave and successful use cases. "," Join me to learn the reasons behind this divide, mistakes to avoid and key factors and use cases driving success for companies leveling up with AI, so you can win too.
",,Business Strategy,4.0,Business and stakeholder alignment,"Generative AI, Business success, Use cases","Marinela Profi is the Global AI & GenAI Lead at SAS. Leveraging her extensive background in data science, Marinela brings a unique perspective that bridges the realms of technology and marketing. She drives AI implementation within Banking, Manufacturing, Insurance, Government and Energy sectors. Marinela has a Bachelor’s in Econometrics, a Master of Science in Statistics and Machine Learning and Master’s in Business Administration (MBA). She enjoys sharing her journey on LinkedIn, and on the main stage, to help those interested in a career in data and tech.",https://www.youtube.com/watch?v=OK-7qZpEADc,Computer Software,"SAS serves 90% of Fortune 100 companies (or their affiliates) and is the leader in analytics software and services, and the largest independent vendor in the business intelligence market. We can speak to cross-industry solutions and how we're helping Fortune 100 companies win in AI.",MLOps & GenAI World 2024,OK-7qZpEADc
"Gayathri Srinivasan, Abhimanyu Anand",Wattpad,"Senior AI/ML Product Manager, Data Scientist",Optimizing Recommendations on Wattpad Home,"At Wattpad, the world's leading online storytelling platform, recommendation systems are pivotal to our mission of connecting readers with the stories they love. The Home Page is the primary gateway to Wattpad's diverse content and experiences. As the platform has evolved, we've introduced new content types and classes of stories to meet various business objectives, such as user engagement, merchandising, and marketing. This evolution necessitated recalibrating our homepage recommender system to effectively balance multiple business goals. In this talk, we will discuss how we integrated these objectives into the home recommender stack using probabilistic algorithms derived from the domain of reinforcement learning. Additionally, we will share the challenges we encountered during this transition, such as data sparsity and the cold start problem, along with insights into our development of novel graph neural network architectures tailored for recommendation systems and the new datasets we developed to overcome these hurdles."," The audience will learn about: 
1. How Recommendation systems are used at scale for content recommendation. 
2. Challenges associated with recommendation systems like data sparsity, balancing multiple objectives, etc.. 
3. How we solved these problems at Wattpad using novel graph-based models, multi-objective ranker, etc..",,Applied Case Studies,4.0,"Model dev, training, arch.","Recommendation Systems, Reinforcement Learning, Graph Neural Networks
","Gayathri: Gayathri Srinivasan is an accomplished AI product manager at Wattpad, specializing in personalized rankings and recommendations. With over 7 years of diverse product management experience across various industries, including startups, scale-ups, and enterprises, she brings a wealth of knowledge and expertise to her role.

Abhimanyu: Abhimanyu is a Data Scientist at Wattpad, an online social storytelling platform, where he leads the development of recommender systems for content recommendations. He holds an M.Sc. in Big Data Analytics from Trent University, with a specialization in natural language processing. He has developed and implemented robust AI solutions throughout his career across diverse domains, including internet-scale platforms, metals and mining, oil and gas, and e-commerce.",https://www.youtube.com/watch?v=KckAQQWTMRI,,,TMLS 2024,KckAQQWTMRI
Niels Bantilan,Union.ai,Chief ML Engineer,Learn Your Codebase: Fine-tuning CodeLlama with Flyte… to Learn Flyte,"Today, foundation LLMs can only be trained by a handful of organizations possessing the compute resources required to pre-train models with more than a hundred billion parameters over internet-scale data. These foundation models are then fine-tuned by the wider ML community for specific applications. Even though fine-tuning can be more compute and memory efficient than full parameter tuning, a significant challenge to fine-tuning is provisioning the appropriate infrastructure.

In this session, Niels will demonstrate how to use Flyte, a Linux Foundation open-source orchestration platform to fine-tune a LLM on the Flyte codebase itself 🤯. Flyte allows for the declarative specification of the infrastructure needed for a broad range of ML workloads, including fine-tuning LLMs with limited resources by leveraging multi-node, multi-gpu distributed training.","Attendees will gain hands-on experience using Flyte to leverage state-of-the-art deep learning tools such as `torchrun` distributed training, LoRA, 4/8-bit quantization, and FSDP, while benefiting from Flyte's reproducibility, versioning, and cost management capabilities. At the end of this talk, you’ll be able to take the code and adapt it to learn your own code base to help to answer user-support questions, create boilerplate starter code, or whatever downstream task you’re interested in!","Intermediate Python
Intermediate Machine Learning
Familiarity with Command-line Tools",Workshop,5.0,"Model dev, training, arch.","Flyte, Fine-tuning, LLMs
","Niels is the Chief Machine Learning Engineer at Union.ai, and core maintainer of Flyte, an open source workflow orchestration tool, author of UnionML, an MLOps framework for machine learning microservices, and creator of Pandera, a statistical typing and data testing tool for scientific data containers. His mission is to help data science and machine learning practitioners be more productive.

He has a Masters in Public Health with a specialization in sociomedical science and public health informatics, and prior to that a background in developmental biology and immunology. His research interests include reinforcement learning, AutoML, creative machine learning, and fairness, accountability, and transparency in automated systems.
",https://www.youtube.com/watch?v=VjIVPmow31A,,"Everything can be found online, I wouldn't suggest that any presentation I could write wouldn't be something someone can learn via google or chatGPT :)
",MLOps & GenAI World 2023,VjIVPmow31A
Dre Olgiati,LinkedIn,"Distinguished Engineer, AI/ML",Large Language Model Training and Serving at LinkedIn,"In this talk, Dre will describe some of the fundamental challenges and solutions faced by the LinkedIn team as they build innovative products based on LLMs and agents.",How do I build scalable training and serving solutions for large language models (LLMs)? What are the challenges in scaling LLM training and serving?,,case study & advanced technical,4.0,Deployment and integration,"LLM training and serving, Scalable solutions, LinkedIn AI products"," Dre is a Distinguished Engineer at LinkedIn, where he leads wide-ranging initiatives relevant to large model training, serving, MLOps and more.",https://www.youtube.com/watch?v=yx_BKcAPoQs,Computer Software,"The application of LLMs to complex topics such as text completion, ranking, etc",MLOps & GenAI World 2024,yx_BKcAPoQs
Alik Sokolov,Responsibli,Co-Founder and CEO,The Natural Language Processing Revolution in Investment Management: Advice and Responsible Investing,"This talk will discuss the revolution of natural language processing in recent years, and how it applies to two diverse areas of investment management: investment advice, and the evolving landscape of responsible investing. Our ability to work with unstructured text data, which is abundant in investment management, has undergone several evolutions from the late 2010's: from sequence-to-sequence models for machine translation, to the advent of transformers and transfer learning, to the recent breakthroughs achieved by Large Language Models like Chat GPT. These changes will have a profound impact on investment management, and we will examine two case studies in investment management and responsible investing. We will also examine their long-term future, and how the technical approaches to both are likely to intersect.
","A unique, hands-on industry perspective on the rapidly evolving world of NLP / LLM's, presented in an executive-accessible format",,Business/Strategy,2.0,Business and stakeholder alignment,"Natural Language Processing, Investment Management, Large Language Models





","Alik’s professional background is in AI consulting as a machine learning and data science team leader, and venture capital as a research associate in one of Peter Thiel's funds. Alik is also a seasoned AI project leader and educator in the machine learning field, having taught and developed the machine learning course at the University of Toronto Master's of Mathematical Finance program, as well as many workshops and classes around the world. Alik is also a PhD candidate and Vanier Scholar at the University of Toronto, studying applications of machine learning in quantitative finance and he has several publications at the intersection of quantitative finance, AI, and responsible investing.",https://www.youtube.com/watch?v=NPlI_znQEHk,"Banking & Financial Services
","I have a very unique mix of skills at the industry of machine learning, finance and academia. I have my CFA, work with some very prominent asset managers to help them integrate AI into their day-to-day process today, as well as do research on these topics as a University of Toronto graduate researcher.
",TMLS 2023,NPlI_znQEHk
"Greg Loughnane, Chris Alexiuk",AI Makerspace,"Co-Founder, Co-Founder & CTO",Building Agentic and Multi-Agent Systems with LangGraph,"2024 is the year of agents, agentic RAG, and multi-agent systems! 

This year, people and companies aim to build more complex LLM applications and models; namely, ones that are ever-more capable of leveraging context and reasoning.  For applications to leverage context well, they must provide useful input to the context window (e.g., [in-context learning](https://openai.com/index/language-models-are-few-shot-learners/)), through direct prompting or search and retrieval (e.g., [Retrieval Augmented Generation](https://arxiv.org/abs/2005.11401), or RAG).  To leverage reasoning is to leverage the Reasoning-Action ([ReAct](https://arxiv.org/abs/2210.03629)) pattern, and to be “agentic” or “agent-like.”  Another way to think about agents is that they enhance search and retrieval through the intelligent use of tools or services. 

The best practice tool in the industry for building complex LLM applications is LangChain.  To build agents as part of the LangChain framework, we leverage LangGraph, which allows us to bake in cyclical reasoning loops to our application logic.  LangChain v0.2, the latest version of the leading [infrastructure orchestration tooling](https://github.com/a16z-infra/llm-app-stack?tab=readme-ov-file#orchestrators), incorporates LangGraph directly, the engine that powers stateful (and even fully autonomous) agent cycles.

In this session, we'll break down all the concepts and code you need to understand and build the industry-standard agentic and multi-agent systems, from soup to nuts."," - A review of the basic prototyping patterns of GenAI, including Prompt Engineering, RAG, Fine-Tuning, and Agents
- The core ideas and constructs to build agentic and multi-agent applications with LangGraph
- ⛓️ Build custom agent applications with LangGraph
- 🤖 Develop multi-agent workflows with LangGraph",,Workshop,4.0,"Model dev, training, arch.","LangGraph, Agentic systems, Multi-agent workflow
","[Dr. Greg Loughnane](https://www.linkedin.com/in/gregloughnane/) is the Co-Founder & CEO of AI Makerspace, where he is an instructor for their [AI Engineering Bootcamp](https://maven.com/aimakerspace/ai-eng-bootcamp). Since 2021 he has built and led industry-leading Machine Learning education programs.  Previously, he worked as an AI product manager, a university professor teaching AI, an AI consultant and startup advisor, and an ML researcher.  He loves trail running and is based in Dayton, Ohio.

[Chris Alexiuk](https://www.linkedin.com/in/csalexiuk/) is the Co-Founder & CTO at AI Makerspace, where he is an instructor for their [AI Engineering Bootcamp](https://maven.com/aimakerspace/ai-eng-bootcamp). Previously, he was a Founding Machine Learning Engineer, Data Scientist, and ML curriculum developer and instructor. He’s a YouTube content creator YouTube who’s motto is “Build, build, build!” He loves Dungeons & Dragons and is based in Toronto, Canada.",https://www.youtube.com/watch?v=5qsEIdUlBLY,"Automotive, Banking & Financial Services, Computer Software, Enviromental Services, Food & Beverage, Hospital & Health Care, Insurance, Information Technology Services, Marketing & Advertising, Telecommunications, Other","In just three hours, you can go from not knowing agents, LangChain, or LangGraph, to building robust, production-grade multi-agent applications with industry-leading open-source tooling.  The only thing you'll have to do is figure out what to build, and why... ",MLOps & GenAI World 2024,5qsEIdUlBLY
Geoffrey  Hunter,SpotHero,Lead Data Scientist,7 Questions for Data Scientists,Geoffrey will share the 7 Questions I ask on a daily basis to rapidly qualify and frame new Data Science problems. This framework can be applied to understand new opportunities as well as to existing problems to help eliminate noise and focus one's efforts.,,,Ignite Lighting Talk,,Business and stakeholder alignment,"Data Science Framework, Problem Qualification, Opportunity Identification","Geoffrey is passionate about forming end-to-end, product-focused Data Science teams that deliver high impact results. After his post doc, he was a Data Science consultant at different companies and then moved onto leading Data Science teams. He acts to contextualize Data Science opportunities for senior leadership and then mobilizes and mentors the data science teams to focus on understanding and solving problems. ",https://www.youtube.com/watch?v=uIsR0BXBqfw,,,TMLS 2022,uIsR0BXBqfw
Nikita Namjoshi,Google Cloud,Generative AI Developer Advocate,Era of Multimodal AI & Reasoning,"The future of AI is multimodal. In this session, you will learn about a variety of multimodal use cases. You will also explore the importance of large context windows for effective reasoning over multi-modalities and learn how caching mechanisms can enhance performance.",,,Ignite Lighting Talk,,"Model dev, training, arch.","Multimodal AI, Reasoning, Performance optimization","Nikita helps developers build generative AI applications with Google Cloud’s machine learning tools. She’s the instructor of popular Coursera courses on generative AI and carbon aware computing. You can find her blogging about tech, explaining AI concepts on Youtube, and doing live demos at Google events.",https://www.youtube.com/watch?v=EmAVZvsopYw,,,MLOps & GenAI World 2024,EmAVZvsopYw
Shashank Shekhar,Dice Health,Co-Founder,A Practitioner's Guide To Safeguarding Your LLM Applications,"In this workshop, participants will learn essential techniques for enhancing the reliability and security of their Large Language Model (LLM) applications. Despite their powerful capabilities, LLMs often face challenges such as generating inconsistent outputs, straying off-topic, exposing sensitive data, etc. This workshop is tailored to give practitioners a broad understanding of current LLM limitations, as well as providing them with tools to address these limitations by generating structured outputs, ensuring topic relevance, mitigating hallucinations, and safeguarding company data.

This workshop will be tailored towards data scientists, ML engineers, and anyone involved in developing or managing LLM applications in the real world who is looking to enhance the robustness of their LLM systems. There will be hands-on programming components using open-source tools to reinforce the concepts covered during the workshop."," Participants of this workshop will gain a comprehensive understanding of:

Generating Structured Outputs for LLMs: Learn to generate, validate, and, if necessary, regenerate outputs that align with interoperability requirements, ensuring that LLM applications interact seamlessly with existing codebases.

Topic Relevance: Master techniques to ensure that LLMs consistently produce content that is relevant and on-topic, adheres to company brand guidelines, and focuses on delivering the desired user experience.

Hallucination Mitigation: Develop strategies to reduce the risk of LLMs generating inaccurate or misleading information. This includes setting programmable guardrails and providing a reliable ground truth data source for content generation.

Data Leakage Prevention: Understand and implement best practices to protect sensitive information, such as health records and financial details, from being inadvertently exposed by LLMs.

Safety Guardrails Implementation: Learn to establish robust safety guardrails to minimize risks like unauthorized model behavior (""jailbreaks""), ensure safe interactions with third-party applications, and manage operational costs related to LLM use."," Basic knowledge of large language models either via APIs such as OpenAI ChatGPT, or Anthropic Claude, or via local models such as Meta Llama, or Mixtral.",Workshop,6.0,Security and Privacy,"LLM security, structured outputs, hallucination mitigation.
",,https://www.youtube.com/watch?v=NMYIj1U8DRM,"Banking & Financial Services, Hospital & Health Care, Information Technology & Service, Insurance, Computer Software
",,TMLS 2024,NMYIj1U8DRM
Adam Probst,ZenML,CEO & Co-Creator,MLOps isn't that hard: Create a Modular Stack with Open-Source Tools,"Picture this: a machine learning system that's less of a riddle and more of an open book.

With the inherent intricacies of code, models, and data, these systems are a unique challenge. Building, managing, and deploying require a dance between processes, practices, and tools that span across the machine learning solutions lifecycle.

This talk is taking it back to basics and breaking down what it takes to build an end-to-end ML pipeline from the ground up. Listeners can expect to take away a blueprint for creating a MLOps pipeline for their own use-case, starting local all the way to scaling up to a production-ready stack.",,,Future of AI Talk,,Introduction to MLOps and GenAI,"MLOps pipeline, Open-source tools, Modular stack","Adam is a Mechanical Engineer and previously worked in the automotive industry. In 2017, he co-founded a company with Hamza Tahir, aiming to implement Machine Learning in a specific automotive use case. After several years of project work and recognizing similar MLOps challenges across various companies, they decided to launch ZenML, an open-source MLOps framework, in 2021. This initiative attracted investments from notable investors such as Crane from London and AIX Ventures from Palo Alto, who have also invested in companies like HuggingFace, H2o.ai, and Weights&Biases.",https://www.youtube.com/watch?v=6UCob-4508Q,,,MLOps & GenAI World 2023,6UCob-4508Q
"Yatong Li, Ryan Shannon, Vik Pant, PhD, Michelle Yu
","Sixty Degree Capital, Radical Ventures, Synthetic Intelligence Forum, Georgian, Maverix Private Equity","Managing Director, Investor, Founder, Investor, Founder & Managing Partner",Looking into AI/ML from a Venture Capital lens,"As a Toronto based Canadian VC focusing on global investments, Sixty Degree Capital invests in software that’s transforming industries, and the digital infrastructure that supports it. We have invested in lots of exciting portfolio companies including Arctic Wolf in the Cybersecurity space, DataGrail innovating on Data Privacy, Paperspace providing MLOps platform, MacroMeta solving Edge Computing bottlenecks, Pragma work in the Gaming Infrastructure space, Tact.ai and Radius Agent as Vertical SaaS products etc.). We believe AI/ML is a fundamental building block for next generation software, so Sixty Degree has spent lots of time to research, source, invest in the sub sectors. While we're a direct VC fund, we've allocated capital to become LPs of notable venture funds such as Lightspeed, a16z, NEA, Tiger, NfX, Initialized, Foundation Capital and Upfront Ventures, which gives us a special information advantage on what are the top tier Silicon Valley VCs are investing.",Insider information on how investors are allocating capital in AI/ML now,,Business Strategy  - Panel,3.0,Business and stakeholder alignment,"AI/ML Venture Capital, Investment Strategies, Software Transformation





","With over 10 years of experience in technology, finance and investment banking, Yatong leads Sixty Degree Capital’s investment in the technology space. He joined Sixty Degree Capital as an Associate in 2017 and quickly rose through the ranks to become a Managing Director on the technology investment team where he focuses on enterprise software opportunities. During his six year tenure at the firm, he managed to build the firm’s portfolio in the tech space with over 12 portfolio companies — including GrubMarket, MioVision, Pragma, DataGrail, Arctic Wolf, MacroMeta, Tact.AI, Lime, and Schrödinger.

Ryan Shannon is a member of the investment team at Radical Ventures.

Prior to joining Radical, Ryan was a Private Equity Investor at TPG Capital in San Francisco, where he focused on Leveraged Buyouts, Corporate Carve-outs, and Take-privates of North American businesses. Previously, Ryan worked as an Investment Banker in the Financial Sponsors group at Barclays in Los Angeles. 

Ryan received an HBA from the Ivey Business School at Western University, where he graduated as an Ivey Scholar, and an MBA from Harvard Business School.

Vik is the Founder of the Synthetic Intelligence Forum, a global community of practice focused on Data Science and applied AI. SIF is a professional networking, knowledge sharing, and collaborative learning hub for professional data scientists, AI researchers, and ML engineers.
He is an Adjunct Professor in the Faculty of Information (iSchool) at the University of Toronto and the Department of Geography, Environment, and Geomatics at the University of Ottawa.
Vik earned a doctorate from the Faculty of Information (iSchool) in the University of Toronto where his thesis was unanimously accepted by the examination committee As-Is and without any changes. His scholarship is focused on game-theoretic optimization of strategic coopetition in complex multi-agent systems. His research has been published in numerous peer-reviewed scholarly journals and he has also presented his academic research at refereed scholarly conferences and juried workshops.

Michelle is an Investor at Georgian, a growth-stage firm investing in high growth technology companies that harness the power of data in a trustworthy way. Michelle focuses on sourcing investment opportunities, investment due diligence, and advising companies post-investment on go-to-market, market analysis and product strategy. Prior to joining Georgian, Michelle worked on the investment team at Vectr Ventures in Hong Kong and for BDC Capital in Montreal. Michelle has a Bachelor of Commerce with a Double Major in Finance & International Management, with a Minor in Political Science, from McGill University.  
",https://www.youtube.com/watch?v=6X0sqZ7Metg,"Computer Software, Information Technology & Service, Venture Capital & Private Equity
",Not many investors have access to stay in close touch with top tier US VCs as we do.,,6X0sqZ7Metg
"Adam Kerr, Lyndon Quadros",Bell Canada,"Senior Machine Learning Engineer
Senior Manager, Artificial Intelligence",Modular Solutions for Knowledge Management at scale in RAG Systems," An important component of any RAG system or application is the underlying knowledge base that the bot or application uses. 

At Bell, we have built and adopted modular document embedding pipelines that allow some level of customization in the processing, ingestion and indexing of documents so that the peculiarities of various use cases and their raw documents can be efficiently indexed and used in their RAG applications. These pipelines also support both batch and incremental updates to the knowledge bases, with capabilities for automatically updating the indexes when documents are added to or removed from their source location. The modular nature also enables these pipelines to integrate with various document sources. These are supplemented with processes and conventions to ensure the efficient management and governance of the indexes at scale, providing a standardized framework for large-scale RAG applications at an enterprise level. ",How to approach Embedding Pipelines and Document Management for RAGs in a hybrid batch / incremental fashion,,MLOps & Infrastructure,6.0,Deployment and integration,"Modular document embedding, RAG systems, knowledge management.
","Adam: A senior machine learning engineer on Bell Canada's Customer Op's DEAI team. One of the key architects of Bell Canada's ML Platform, Maverick. His primary objective: develop an opinionated set of products and configurations to deploy end-to-end machine learning solutions using recommended infrastructure, targeted at teams starting out on their ML journeys.

Lyndon: Lyndon Quadros has lead teams that build and manage ML, AI and Data Engineering solutions on the cloud at an enterprise scale; and currently leads an MLOps and ML Engineering team at Bell. His current work focuses on Generative AI applications, AI infrastructure and MLOps standards and processes.",https://www.youtube.com/watch?v=w5FZh0R4JaQ,"Telecommunications, Information Technology & Service, Banking & Financial Services, Computer Software, Other
",,TMLS 2024,w5FZh0R4JaQ
Debadyuti Roy Chowdhury,InfinyOn,VP Products,Why real-time event streaming pattern is indispensable for an AI native future," Will our favourite favourite applications be able to deliver AI powered experiences without basic data quality and reliable infrastructure?

Distributed event streaming is the backbone of real-time analytics, insights, and intelligence. Stateful stream processing enables bounded and unbounded stream processing patterns that delivers rich datasets, streamline explainability, and delightful consumer experiences.

Event streaming patterns are useful for data collection, data enrichment, data profiling and aggregation, and measuring drift and explainability.

In this talk I will share my experience with AI use cases and event streaming."," Event driven architecture and event streaming patterns are a big power up for applied AI:
- Architecture patterns that are currently in use in IoT and B2B SaaS eCommerce and FinTech
- Tangible benefits of event driven architecture for AI in production in terms of:
- Operational Cost
- Infrastructure Overhead
- Developer Productivity and velocity",,Applied Case Studies,4.0,Deployment and integration,"Event Streaming, Real-time Analytics, AI Infrastructure.
","Deb leads product management at InfinyOn a distributed streaming infrastructure company. Deb's career since 2006 spans across IT, server administration, software and data engineering, leading data science and AI practices, and product management in HealthTech, Public Safety, Manufacturing, and Ecommerce.",https://www.youtube.com/watch?v=zCey3ZXpEZk,,,TMLS 2024,zCey3ZXpEZk
"Debadyuti RoyChowdhury, Sehyo Chang",InfinyOn,"VP Products, CTO",Hands-on Scalable Edge-to-Core ML Pipelines,"In this intensive workshop, participants will gain hands-on experience in designing, implementing, and troubleshooting a real-world distributed ML pipeline that spans from edge devices to core infrastructure. We'll tackle key MLOps challenges in building and managing complex, scalable systems for both operational analytics and AI/ML workflows.
Key topics covered:

Edge Computing: Simulating data ingestion from edge devices
Streaming Architecture: Implementing real-time data flows with open-source tools
Distributed Processing: Scaling ML workloads across heterogeneous environments
Model Deployment: Strategies for serving models at the edge and in the cloud
Observability and Monitoring: Setting up comprehensive monitoring for distributed ML systems
MLOps Best Practices: Applying DevOps principles to ML lifecycle management

Hands-on activities:

Participants will work in small groups to build a complete edge-to-core ML pipeline
Each team will deploy a pre-trained model for real-time inference at the edge
Groups will implement data validation and model monitoring across the pipeline
Participants will troubleshoot common issues in distributed ML systems"," Attendees will gain hands-on experience in designing, implementing, and troubleshooting a real-world distributed dataflow spanning operational analytics and AI/ML pipelines.

- Practical experience in designing scalable, distributed ML architectures
- Understanding of MLOps challenges in edge-to-core systems
- Hands-on skills in deploying and monitoring ML models across diverse environments
- Strategies for optimizing performance and resource usage in complex ML pipelines
- Best practices for maintaining data quality and model accuracy in production systems",,Workshop,7.0,Deployment and integration,"Edge-to-core pipeline, MLOps challenges, Real-time inference","Deb leads product management at InfinyOn a distributed streaming infrastructure company. Deb's career since 2006 spans across IT, server administration, software and data engineering, leading data science and AI practices, and product management in HealthTech, Public Safety, Manufacturing, and Ecommerce.

Sehyo Chang is the CTO and Co-founder of InfinyOn. He is also the creator of the Fluvio open-source project. He dabbled in WASM technology at an early stage and spearheaded InfinyOn to join Bytecode Alliance. He is a veteran of the open-source business model. Previously he was at NGINX, where he developed nginmesh and Rust binding for NGINX.",https://www.youtube.com/watch?v=S3o0iooG0r8,"Automotive, Banking & Financial Services, Computer Software, Enviromental Services, Information Technology Services, Marketing & Advertising, Telecommunications, Insurance, Hospital & Health Care, Food & Beverage","It uses the leanest high performance streaming engine which runs in ARM64 edge devices and scales to large cloud servers.

It also uses a single paradigm for production data processing with modular components, intuitive development experience, eliminating the need to glue together a number of disjointed tools.",MLOps & GenAI World 2024,S3o0iooG0r8
Estefania Barreto,Recursion Pharmaceuticals,ML Engineer,Industrializing ML Workflows in Drug Discovery,"Recursion is committed to industrialize drug discovery by addressing the complexities of Machine Learning (ML) workflows head-on. A critical step in the drug discovery process is predicting compounds’ properties such as Absorption, Distribution, Metabolism, and Excretion (ADME), Potency and Toxicity among others, which allows the evaluation of a drug candidate for safety and efficacy, crucial for regulatory approval. In order to leverage its large volume of diverse and regularly updated chemical assays datasets, Recursion has engineered standardized and automated solutions to train and deploy predictive models on a weekly basis, thus accelerating the drug discovery process in early stages. In this talk, we will offer a comprehensive overview of our industrialized workflows to develop and deploy ML compound property predictors. Insights into Recusion’s strategy for data management, model training and deployment using both cloud and supercomputing resources will be shared."," During this presentation, attendees will gain understanding of our structured approach for creating and implementing machine learning models to predict compound properties in an industrial setting. We will explore Recusion's approach to managing data, training models, and deploying them utilizing a combination of cloud services and supercomputing resources",,Research or Advanced Technical,5.0,Deployment and integration,"Industrializing ML Workflows, Drug Discovery, Predictive Models
","Estefania Barreto-Ojeda is an ML Engineer at Recursion, where she builds and automates machine learning pipelines for drug discovery. A physicist by training, she has a PhD in Biophysical Chemistry from the University of Calgary where she participated in Google Summer of Code as an open source software developer . She has given talks at several major data conferences, including PyData. Estefania is a full time automation fan, an occasional open-source contributor, and a seasonal bicycle lover.",https://www.youtube.com/watch?v=Te02lHSsxr4,"Hospital & Health Care, Computer Software, Other
",,TMLS 2024,Te02lHSsxr4
